COUNTY,RACE,YEAR,POP
15County,NHIA,2005,4705
15County,NHIA,2006,4566
15County,NHIA,2007,4436
15County,NHIA,2008,4570
15County,NHIA,2009,4554
15County,NHIA,2010,8776
15County,NHIA,2011,4379
15County,NHIA,2012,4469
15County,NHIA,2013,4587
15County,NHIA,2014,4600
15County,NHIA,2015,4638
15County,NHIA,2016,4689
15County,NHIA,2017,4760
15County,NHIA,2018,4806
15County,NHIA,2019,4826
15County,NHIA,2020,9685
15County,NHIA,2021,4865
15County,NHIA,2022,4875
15County,NHIA,2023,4879
15County,NHNA,2000,600
15County,NHNA,2001,630
15County,NHNA,2002,696
15County,NHNA,2003,705
15County,NHNA,2004,763
15County,NHNA,2005,772
15County,NHNA,2006,844
15County,NHNA,2007,896
15County,NHNA,2008,925
15County,NHNA,2009,943
15County,NHNA,2010,1895
15County,NHNA,2011,940
15County,NHNA,2012,945
15County,NHNA,2013,941
15County,NHNA,2014,960
15County,NHNA,2015,963
15County,NHNA,2016,982
15County,NHNA,2017,993
15County,NHNA,2018,1028
15County,NHNA,2019,1066
15County,NHNA,2020,2100
15County,NHNA,2021,1027
15County,NHNA,2022,1014
15County,NHNA,2023,1006
15County,NHTOM,2000,24451
15County,NHTOM,2001,26018
15County,NHTOM,2002,27429
15County,NHTOM,2003,29315
15County,NHTOM,2004,31212
15County,NHTOM,2005,33339
15County,NHTOM,2006,35176
15County,NHTOM,2007,37435
15County,NHTOM,2008,39893
15County,NHTOM,2009,42445
15County,NHTOM,2010,89033
15County,NHTOM,2011,46364
15County,NHTOM,2012,47796
15County,NHTOM,2013,49902
15County,NHTOM,2014,51680
15County,NHTOM,2015,53635
15County,NHTOM,2016,55711
15County,NHTOM,2017,57668
15County,NHTOM,2018,59544
15County,NHTOM,2019,61452
15County,NHTOM,2020,126355
15County,NHTOM,2021,65064
15County,NHTOM,2022,66957
15County,NHTOM,2023,68867
15County,NHWA,2000,1629515
15County,NHWA,2001,1639259
15County,NHWA,2002,1646019
15County,NHWA,2003,1655154
15County,NHWA,2004,1662527
15County,NHWA,2005,1671617
15County,NHWA,2006,1683808
15County,NHWA,2007,1695960
15County,NHWA,2008,1706571
15County,NHWA,2009,1714723
15County,NHWA,2010,3444351
15County,NHWA,2011,1728953
15County,NHWA,2012,1734915
15County,NHWA,2013,1744112
15County,NHWA,2014,1753006
15County,NHWA,2015,1759007
15County,NHWA,2016,1763608
15County,NHWA,2017,1772219
15County,NHWA,2018,1775539
15County,NHWA,2019,1777092
15County,NHWA,2020,3546608
15County,NHWA,2021,1760100
15County,NHWA,2022,1756291
15County,NHWA,2023,1754591
15County,TOM,2000,25611
15County,TOM,2001,27379
15County,TOM,2002,29011
15County,TOM,2003,31075
15County,TOM,2004,33139
15County,TOM,2005,35434
15County,TOM,2006,37541
15County,TOM,2007,40017
15County,TOM,2008,42743
15County,TOM,2009,45582
15County,TOM,2010,96196
15County,TOM,2011,50150
15County,TOM,2012,51733
15County,TOM,2013,54009
15County,TOM,2014,56001
15County,TOM,2015,58117
15County,TOM,2016,60419
15County,TOM,2017,62674
15County,TOM,2018,64828
15County,TOM,2019,66994
15County,TOM,2020,138375
15County,TOM,2021,71559
15County,TOM,2022,73876
15County,TOM,2023,76232
15County,TOT,2000,1950805
15County,TOT,2001,1976410
15County,TOT,2002,1997739
15County,TOT,2003,2022581
15County,TOT,2004,2043896
15County,TOT,2005,2066931
15County,TOT,2006,2093863
15County,TOT,2007,2120350
15County,TOT,2008,2145521
15County,TOT,2009,2167524
15County,TOT,2010,4373286
15County,TOT,2011,2206549
15County,TOT,2012,2226225
15County,TOT,2013,2252915
15County,TOT,2014,2280504
15County,TOT,2015,2305960
15County,TOT,2016,2330671
15County,TOT,2017,2361713
15County,TOT,2018,2383795
15County,TOT,2019,2403496
15County,TOT,2020,4838740
15County,TOT,2021,2426372
15County,TOT,2022,2441273
15County,TOT,2023,2459817
15County,WA,2000,1656197
15County,WA,2001,1669254
15County,WA,2002,1679079
15County,WA,2003,1691569
15County,WA,2004,1702097
15County,WA,2005,1714310
15County,WA,2006,1729824
15County,WA,2007,1745253
15County,WA,2008,1759086
15County,WA,2009,1770622
15County,WA,2010,3561067
15County,WA,2011,1788838
15County,WA,2012,1796597
15County,WA,2013,1808022
15County,WA,2014,1819180
15County,WA,2015,1827678
15County,WA,2016,1834912
15County,WA,2017,1846739
15County,WA,2018,1852857
15County,WA,2019,1857577
15County,WA,2020,3724437
15County,WA,2021,1857247
15County,WA,2022,1856850
15County,WA,2023,1859094
Delaware,AA,2000,1749
Delaware,AA,2001,2396
Delaware,AA,2002,3090
Delaware,AA,2003,3789
Delaware,AA,2004,4600
Delaware,AA,2005,5200
Delaware,AA,2006,5755
Delaware,AA,2007,6216
Delaware,AA,2008,6692
Delaware,AA,2009,7182
Delaware,AA,2010,15372
Delaware,AA,2011,8299
Delaware,AA,2012,8695
Delaware,AA,2013,9463
Delaware,AA,2014,10348
Delaware,AA,2015,11379
Delaware,AA,2016,12525
Delaware,AA,2017,13703
Delaware,AA,2018,14937
Delaware,AA,2019,16434
Delaware,AA,2020,35221
Delaware,AA,2021,18778
Delaware,AA,2022,20384
Delaware,AA,2023,22140
Delaware,BA,2000,2915
Delaware,BA,2001,3419
Delaware,BA,2002,3892
Delaware,BA,2003,4233
Delaware,BA,2004,4619
Delaware,BA,2005,4943
Delaware,BA,2006,5251
Delaware,BA,2007,5555
Delaware,BA,2008,5694
Delaware,BA,2009,5827
Delaware,BA,2010,11938
Delaware,BA,2011,6126
Delaware,BA,2012,6186
Delaware,BA,2013,6348
Delaware,BA,2014,6473
Delaware,BA,2015,6670
Delaware,BA,2016,7049
Delaware,BA,2017,7459
Delaware,BA,2018,7863
Delaware,BA,2019,8320
Delaware,BA,2020,17705
Delaware,BA,2021,9651
Delaware,BA,2022,10554
Delaware,BA,2023,11265
Delaware,HAA,2000,8
Delaware,HAA,2001,9
Delaware,HAA,2002,14
Delaware,HAA,2003,27
Delaware,HAA,2004,27
Delaware,HAA,2005,30
Delaware,HAA,2006,34
Delaware,HAA,2007,41
Delaware,HAA,2008,57
Delaware,HAA,2009,56
Delaware,HAA,2010,118
Delaware,HAA,2011,66
Delaware,HAA,2012,74
Delaware,HAA,2013,76
Delaware,HAA,2014,80
Delaware,HAA,2015,87
Delaware,HAA,2016,91
Delaware,HAA,2017,89
Delaware,HAA,2018,89
Delaware,HAA,2019,95
Delaware,HAA,2020,224
Delaware,HAA,2021,124
Delaware,HAA,2022,144
Delaware,HAA,2023,137
Delaware,HBA,2000,56
Delaware,HBA,2001,69
Delaware,HBA,2002,64
Delaware,HBA,2003,79
Delaware,HBA,2004,77
Delaware,HBA,2005,88
Delaware,HBA,2006,85
Delaware,HBA,2007,98
Delaware,HBA,2008,92
Delaware,HBA,2009,103
Delaware,HBA,2010,210
Delaware,HBA,2011,125
Delaware,HBA,2012,138
Delaware,HBA,2013,162
Delaware,HBA,2014,176
Delaware,HBA,2015,198
Delaware,HBA,2016,258
Delaware,HBA,2017,260
Delaware,HBA,2018,302
Delaware,HBA,2019,337
Delaware,HBA,2020,739
Delaware,HBA,2021,416
Delaware,HBA,2022,422
Delaware,HBA,2023,446
Delaware,HIA,2000,8
Delaware,HIA,2001,10
Delaware,HIA,2002,19
Delaware,HIA,2003,20
Delaware,HIA,2004,30
Delaware,HIA,2005,41
Delaware,HIA,2006,58
Delaware,HIA,2007,64
Delaware,HIA,2008,75
Delaware,HIA,2009,75
Delaware,HIA,2010,185
Delaware,HIA,2011,93
Delaware,HIA,2012,108
Delaware,HIA,2013,110
Delaware,HIA,2014,99
Delaware,HIA,2015,114
Delaware,HIA,2016,133
Delaware,HIA,2017,134
Delaware,HIA,2018,142
Delaware,HIA,2019,146
Delaware,HIA,2020,348
Delaware,HIA,2021,196
Delaware,HIA,2022,220
Delaware,HIA,2023,225
Delaware,HNA,2000,3
